UUID,legislative_body,bill_number,status,status_date,title,description,legiscan_url,last_action
US-HB891,US,HB891,Introduced,2025-01-31,Pro-Housing Act of 2025,"To direct the Secretary of Housing and Urban Development and the Administrator of the General Services Administration to establish programs for the development of affordable housing, and for other purposes.",https://legiscan.com/US/bill/HB891/2025,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management."
US-HB892,US,HB892,Introduced,2025-01-31,Mortgage Rate Reduction Act,"To require the heads of certain agencies to disclose information about loans insured and guaranteed by such agencies, and for other purposes.",https://legiscan.com/US/bill/HB892/2025,"Referred to the Committee on Financial Services, and in addition to the Committee on Veterans' Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB893,US,HB893,Introduced,2025-01-31,Working Families Housing Tax Credit Act,"To amend the Internal Revenue Code of 1986 to provide a credit for working families housing development, and for other purposes.",https://legiscan.com/US/bill/HB893/2025,"Referred to the Committee on Ways and Means, and in addition to the Committees on Energy and Commerce, and Transportation and Infrastructure, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB894,US,HB894,Introduced,2025-01-31,To authorize grants to implement school-community partnerships for preventing substance use and misuse among youth.,To authorize grants to implement school-community partnerships for preventing substance use and misuse among youth.,https://legiscan.com/US/bill/HB894/2025,Referred to the House Committee on Energy and Commerce.
US-HB895,US,HB895,Introduced,2025-01-31,Ensuring Justice for Victims of Partial-Birth Abortion Act,"To amend title 18, United States Code, to require the Attorney General to investigate alleged violations of the partial birth abortion ban.",https://legiscan.com/US/bill/HB895/2025,Referred to the House Committee on the Judiciary.
US-HB896,US,HB896,Introduced,2025-01-31,Expanding Access to High-Impact Tutoring Act of 2025,"To direct the Secretary of Education to award grants to State educational agencies for the purpose of implementing, administering, and evaluating programs that provide tutoring to students in elementary and secondary schools, and for other purposes.",https://legiscan.com/US/bill/HB896/2025,Referred to the House Committee on Education and Workforce.
US-HB897,US,HB897,Introduced,2025-01-31,Aviation-Impacted Communities Act,"To require the Federal Aviation Administration to provide funding for noise mitigation, and for other purposes.",https://legiscan.com/US/bill/HB897/2025,Referred to the Subcommittee on Aviation.
US-HB898,US,HB898,Introduced,2025-01-31,Aviation Noise and Emissions Mitigation Act,"To develop pilot grant programs through the Environmental Protection Agency to research and collect data on aircraft and airport noise and emissions and to use such information and data to develop a mitigation strategy, and for other purposes.",https://legiscan.com/US/bill/HB898/2025,Referred to the Subcommittee on Aviation.
US-HB899,US,HB899,Introduced,2025-01-31,To terminate the Department of Education.,To terminate the Department of Education.,https://legiscan.com/US/bill/HB899/2025,Referred to the House Committee on Education and Workforce.
US-HB900,US,HB900,Introduced,2025-01-31,Sinkhole Mapping Act of 2025,"To direct the Director of the United States Geological Survey to establish a program to map zones that are at greater risk of sinkhole formation, and for other purposes.",https://legiscan.com/US/bill/HB900/2025,Referred to the House Committee on Natural Resources.
US-HB901,US,HB901,Introduced,2025-01-31,Research Security and Accountability in DHS Act,"To require the Under Secretary of the Science and Technology Directorate of the Department of Homeland Security to develop a Department-wide policy and process to safeguard research and development from unauthorized access to or disclosure of sensitive information in research and development acquisitions, and for other purposes.",https://legiscan.com/US/bill/HB901/2025,Referred to the Subcommittee on Emergency Management and Technology.
US-HB902,US,HB902,Introduced,2025-01-31,"To prohibit the use of materials that use the term ""West Bank"", and for other purposes.","To prohibit the use of materials that use the term ""West Bank"", and for other purposes.",https://legiscan.com/US/bill/HB902/2025,Referred to the House Committee on Foreign Affairs.
US-HB903,US,HB903,Introduced,2025-01-31,"To amend the Clean Air Act to establish a grant program for supporting local communities in detecting, preparing for, communicating about, or mitigating the environmental and public health impacts of wildfire smoke and extreme heat, and for other purposes.","To amend the Clean Air Act to establish a grant program for supporting local communities in detecting, preparing for, communicating about, or mitigating the environmental and public health impacts of wildfire smoke and extreme heat, and for other purposes.",https://legiscan.com/US/bill/HB903/2025,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB904,US,HB904,Introduced,2025-01-31,To amend the Internal Revenue Code of 1986 to repeal the inclusion in gross income of Social Security benefits.,To amend the Internal Revenue Code of 1986 to repeal the inclusion in gross income of Social Security benefits.,https://legiscan.com/US/bill/HB904/2025,Referred to the House Committee on Ways and Means.
US-HB905,US,HB905,Introduced,2025-01-31,"To amend the Internal Revenue Code of 1986 to extend the earned income tax credit to all taxpayers with dependents and to qualifying students, and for other purposes.","To amend the Internal Revenue Code of 1986 to extend the earned income tax credit to all taxpayers with dependents and to qualifying students, and for other purposes.",https://legiscan.com/US/bill/HB905/2025,Referred to the House Committee on Ways and Means.
US-HB906,US,HB906,Introduced,2025-01-31,"To direct the Federal Communications Commission to publish a list of entities that hold authorizations, licenses, or other grants of authority issued by the Commission and that have certain foreign ownership, and for other purposes.","To direct the Federal Communications Commission to publish a list of entities that hold authorizations, licenses, or other grants of authority issued by the Commission and that have certain foreign ownership, and for other purposes.",https://legiscan.com/US/bill/HB906/2025,Referred to the House Committee on Energy and Commerce.
US-HB907,US,HB907,Introduced,2025-01-31,Northern Montana Water Security Act of 2025 Fort Belknap Indian Community Water Rights Settlement Act of 2025,"To provide for the settlement of the water rights claims of the Fort Belknap Indian Community, and for other purposes.",https://legiscan.com/US/bill/HB907/2025,Referred to the House Committee on Natural Resources.
US-HB908,US,HB908,Introduced,2025-02-04,"To amend section 230 of the Communications Act of 1934 (commonly referred to as the Communications Decency Act) to stop censorship, and for other purposes.","To amend section 230 of the Communications Act of 1934 (commonly referred to as the Communications Decency Act) to stop censorship, and for other purposes.",https://legiscan.com/US/bill/HB908/2025,Referred to the House Committee on Energy and Commerce.
US-HB909,US,HB909,Introduced,2025-02-04,To temporarily provide additional deposits into the Crime Victims Fund.,To temporarily provide additional deposits into the Crime Victims Fund.,https://legiscan.com/US/bill/HB909/2025,Referred to the House Committee on the Judiciary.
US-HB910,US,HB910,Introduced,2025-02-04,Taiwan Non-Discrimination Act of 2025,"To require the Secretary of the Treasury to pursue more equitable treatment of Taiwan at the international financial institutions, and for other purposes.",https://legiscan.com/US/bill/HB910/2025,Referred to the House Committee on Financial Services.
US-HB911,US,HB911,Introduced,2025-02-04,"To amend title 5, United States Code, to establish Patriot Day as a Federal holiday.","To amend title 5, United States Code, to establish Patriot Day as a Federal holiday.",https://legiscan.com/US/bill/HB911/2025,Referred to the House Committee on Oversight and Government Reform.
US-HB912,US,HB912,Introduced,2025-02-04,"To amend title V of the Public Health Service Act to secure the suicide prevention lifeline from cybersecurity incidents, and for other purposes.","To amend title V of the Public Health Service Act to secure the suicide prevention lifeline from cybersecurity incidents, and for other purposes.",https://legiscan.com/US/bill/HB912/2025,Referred to the House Committee on Energy and Commerce.
US-HB913,US,HB913,Introduced,2025-02-04,"To amend title 38, United States Code, to authorize the Secretary of Veterans Affairs to approve a rehabilitation program for a certain veterans with service-connected disabilities that include the pursuit of non-degree flight training programs, and for other purposes.","To amend title 38, United States Code, to authorize the Secretary of Veterans Affairs to approve a rehabilitation program for a certain veterans with service-connected disabilities that include the pursuit of non-degree flight training programs, and for other purposes.",https://legiscan.com/US/bill/HB913/2025,Referred to the House Committee on Veterans' Affairs.
US-HB914,US,HB914,Introduced,2025-02-04,"To amend the Tariff Act of 1930 to provide that required country-of-origin labeling for any agricultural product packaged in a can shall be on the front label or top of such can, and for other purposes.","To amend the Tariff Act of 1930 to provide that required country-of-origin labeling for any agricultural product packaged in a can shall be on the front label or top of such can, and for other purposes.",https://legiscan.com/US/bill/HB914/2025,Referred to the House Committee on Ways and Means.
US-HB915,US,HB915,Introduced,2025-02-04,"To authorize small business loans to finance access to modern business software, and for other purposes.","To authorize small business loans to finance access to modern business software, and for other purposes.",https://legiscan.com/US/bill/HB915/2025,Referred to the House Committee on Small Business.
US-HB916,US,HB916,Introduced,2025-02-04,To require the Secretary of the Treasury to mint commemorative coins in recognition of the life and legacy of Rosa Parks.,To require the Secretary of the Treasury to mint commemorative coins in recognition of the life and legacy of Rosa Parks.,https://legiscan.com/US/bill/HB916/2025,Referred to the House Committee on Financial Services.
US-HB917,US,HB917,Introduced,2025-02-04,To amend the Internal Revenue Code of 1986 to make permanent the exclusion from gross income of discharge of qualified principal residence indebtedness.,To amend the Internal Revenue Code of 1986 to make permanent the exclusion from gross income of discharge of qualified principal residence indebtedness.,https://legiscan.com/US/bill/HB917/2025,Referred to the House Committee on Ways and Means.
US-HB918,US,HB918,Introduced,2025-02-04,To amend the Internal Revenue Code of 1986 to make permanent the deduction for mortgage insurance premiums.,To amend the Internal Revenue Code of 1986 to make permanent the deduction for mortgage insurance premiums.,https://legiscan.com/US/bill/HB918/2025,Referred to the House Committee on Ways and Means.
US-HB919,US,HB919,Introduced,2025-02-04,To codify Internal Revenue Service guidance relating to treatment of certain services and items for chronic conditions as meeting the preventive care deductible safe harbor for purposes of high deductible health plans in connection with health savings accounts.,To codify Internal Revenue Service guidance relating to treatment of certain services and items for chronic conditions as meeting the preventive care deductible safe harbor for purposes of high deductible health plans in connection with health savings accounts.,https://legiscan.com/US/bill/HB919/2025,Referred to the House Committee on Ways and Means.
US-HB920,US,HB920,Introduced,2025-02-04,"To amend the Controlled Substances Act to list fentanyl-related substances as schedule I controlled substances, and for other purposes.","To amend the Controlled Substances Act to list fentanyl-related substances as schedule I controlled substances, and for other purposes.",https://legiscan.com/US/bill/HB920/2025,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB921,US,HB921,Introduced,2025-02-04,"To award a Congressional Gold Medal to Master Sergeant Roderick ""Roddie"" Edmonds in recognition of his heroic actions during World War II.","To award a Congressional Gold Medal to Master Sergeant Roderick ""Roddie"" Edmonds in recognition of his heroic actions during World War II.",https://legiscan.com/US/bill/HB921/2025,Referred to the House Committee on Financial Services.
US-HB922,US,HB922,Introduced,2025-02-04,To provide targeted funding for States and other eligible entities through the Social Services Block Grant program to increase the availability of menstrual products for individuals with limited access to such products.,To provide targeted funding for States and other eligible entities through the Social Services Block Grant program to increase the availability of menstrual products for individuals with limited access to such products.,https://legiscan.com/US/bill/HB922/2025,"Referred to the Committee on Ways and Means, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB923,US,HB923,Introduced,2025-02-04,"To prohibit the importation, sale, manufacture, transfer, or possession of .50 caliber rifles, and for other purposes.","To prohibit the importation, sale, manufacture, transfer, or possession of .50 caliber rifles, and for other purposes.",https://legiscan.com/US/bill/HB923/2025,"Referred to the Committee on the Judiciary, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB924,US,HB924,Introduced,2025-02-04,To transfer and limit Executive Branch authority to suspend or restrict the entry of a class of aliens.,To transfer and limit Executive Branch authority to suspend or restrict the entry of a class of aliens.,https://legiscan.com/US/bill/HB924/2025,Referred to the Subcommittee on Border Security and Enforcement.
US-HB925,US,HB925,Introduced,2025-02-04,"To ensure equal protection of the law, to prevent racism in the Federal Government, and for other purposes.","To ensure equal protection of the law, to prevent racism in the Federal Government, and for other purposes.",https://legiscan.com/US/bill/HB925/2025,"Referred to the Committee on Oversight and Government Reform, and in addition to the Committees on the Judiciary, Education and Workforce, Armed Services, Foreign Affairs, Financial Services, Energy and Commerce, Transportation and Infrastructure, and Intelligence (Permanent Select), for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB926,US,HB926,Introduced,2025-02-04,"To conduct a special resource study of Fort Pillow Historic State Park in Henning, Tennessee, and for other purposes.","To conduct a special resource study of Fort Pillow Historic State Park in Henning, Tennessee, and for other purposes.",https://legiscan.com/US/bill/HB926/2025,Referred to the House Committee on Natural Resources.
US-HB927,US,HB927,Introduced,2025-02-04,"To amend the Higher Education Act of 1965 to prohibit institutions of higher education from requiring ideological oaths or similar statements, and for other purposes.","To amend the Higher Education Act of 1965 to prohibit institutions of higher education from requiring ideological oaths or similar statements, and for other purposes.",https://legiscan.com/US/bill/HB927/2025,Referred to the House Committee on Education and Workforce.
US-HB928,US,HB928,Introduced,2025-02-04,"To enhance safety requirements for trains transporting hazardous materials, and for other purposes.","To enhance safety requirements for trains transporting hazardous materials, and for other purposes.",https://legiscan.com/US/bill/HB928/2025,"Referred to the Committee on Transportation and Infrastructure, and in addition to the Committee on Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB929,US,HB929,Introduced,2025-02-04,"To reauthorize the Dr. Lorna Breen Health Care Provider Protection Act, and for other purposes.","To reauthorize the Dr. Lorna Breen Health Care Provider Protection Act, and for other purposes.",https://legiscan.com/US/bill/HB929/2025,Referred to the House Committee on Energy and Commerce.
US-HB930,US,HB930,Introduced,2025-02-04,"To amend titles II and XVIII of the Social Security Act to eliminate the disability insurance benefits waiting period for individuals with disabilities, and for other purposes.","To amend titles II and XVIII of the Social Security Act to eliminate the disability insurance benefits waiting period for individuals with disabilities, and for other purposes.",https://legiscan.com/US/bill/HB930/2025,"Referred to the Committee on Ways and Means, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB931,US,HB931,Introduced,2025-02-04,"To allow certain Federal minerals to be mined consistent with the Bull Mountains Mining Plan Modification, and for other purposes.","To allow certain Federal minerals to be mined consistent with the Bull Mountains Mining Plan Modification, and for other purposes.",https://legiscan.com/US/bill/HB931/2025,Referred to the House Committee on Natural Resources.
US-HB932,US,HB932,Introduced,2025-02-04,"To amend titles 38 and 5, United States Code, to ensure that certain employees of the Department of Veterans Affairs are subject to the same removal, demotion, and suspension policies as other employees of the Federal Government, and for other purposes.","To amend titles 38 and 5, United States Code, to ensure that certain employees of the Department of Veterans Affairs are subject to the same removal, demotion, and suspension policies as other employees of the Federal Government, and for other purposes.",https://legiscan.com/US/bill/HB932/2025,"Referred to the Committee on Veterans' Affairs, and in addition to the Committee on Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB933,US,HB933,Introduced,2025-02-04,To modify the minimum required weight of orange juice soluble solids.,To modify the minimum required weight of orange juice soluble solids.,https://legiscan.com/US/bill/HB933/2025,Referred to the House Committee on Energy and Commerce.
US-HB934,US,HB934,Introduced,2025-02-04,"To direct the Secretary of Defense to submit a report about the effects on national security of the surveillance conducted by the People's Republic of China via the high-altitude surveillance balloon shot down in the airspace of the United States in February 2023, and for other purposes.","To direct the Secretary of Defense to submit a report about the effects on national security of the surveillance conducted by the People's Republic of China via the high-altitude surveillance balloon shot down in the airspace of the United States in February 2023, and for other purposes.",https://legiscan.com/US/bill/HB934/2025,Referred to the House Committee on Armed Services.
US-HB935,US,HB935,Introduced,2025-02-04,To amend the Public Health Service Act to provide for a health care workforce innovation program.,To amend the Public Health Service Act to provide for a health care workforce innovation program.,https://legiscan.com/US/bill/HB935/2025,Referred to the House Committee on Energy and Commerce.
US-HB936,US,HB936,Introduced,2025-02-04,To amend title XI of the Social Security Act to provide for State approval and implementation of specified waivers under the Medicaid program.,To amend title XI of the Social Security Act to provide for State approval and implementation of specified waivers under the Medicaid program.,https://legiscan.com/US/bill/HB936/2025,Referred to the House Committee on Energy and Commerce.
US-HB937,US,HB937,Introduced,2025-02-04,To limit the authority of the Secretary of Education to propose or issue regulations and executive actions.,To limit the authority of the Secretary of Education to propose or issue regulations and executive actions.,https://legiscan.com/US/bill/HB937/2025,Referred to the House Committee on Education and Workforce.
US-HB938,US,HB938,Introduced,2025-02-04,To amend the Higher Education Act of 1965 to restrict contracts with foreign countries of concern and foreign entities of concern.,To amend the Higher Education Act of 1965 to restrict contracts with foreign countries of concern and foreign entities of concern.,https://legiscan.com/US/bill/HB938/2025,Referred to the House Committee on Education and Workforce.
US-HB939,US,HB939,Introduced,2025-02-04,To amend the Internal Revenue Code of 1986 to permit kindergarten through grade 12 educational expenses to be paid from a 529 account.,To amend the Internal Revenue Code of 1986 to permit kindergarten through grade 12 educational expenses to be paid from a 529 account.,https://legiscan.com/US/bill/HB939/2025,Referred to the House Committee on Ways and Means.
US-HB940,US,HB940,Introduced,2025-02-04,"To amend the Federal Financial Institutions Examination Council Act of 1978 to improve the examination of depository institutions, and for other purposes.","To amend the Federal Financial Institutions Examination Council Act of 1978 to improve the examination of depository institutions, and for other purposes.",https://legiscan.com/US/bill/HB940/2025,Referred to the House Committee on Financial Services.
US-HB941,US,HB941,Introduced,2025-02-04,"To amend the Equal Credit Opportunity Act to provide for an effective date and a temporary safe harbor for compliance with certain small business lending data collection rules, and for other purposes.","To amend the Equal Credit Opportunity Act to provide for an effective date and a temporary safe harbor for compliance with certain small business lending data collection rules, and for other purposes.",https://legiscan.com/US/bill/HB941/2025,Referred to the House Committee on Financial Services.
US-HB942,US,HB942,Introduced,2025-02-04,"To amend the Energy Policy and Conservation Act to prohibit the export or sale of petroleum products from the Strategic Petroleum Reserve to certain entities, and for other purposes.","To amend the Energy Policy and Conservation Act to prohibit the export or sale of petroleum products from the Strategic Petroleum Reserve to certain entities, and for other purposes.",https://legiscan.com/US/bill/HB942/2025,Referred to the House Committee on Energy and Commerce.
US-HB943,US,HB943,Introduced,2025-02-04,"To ban the imposition of any State or local liability insurance, tax, or user fee requirement for firearm or ammunition ownership or commerce.","To ban the imposition of any State or local liability insurance, tax, or user fee requirement for firearm or ammunition ownership or commerce.",https://legiscan.com/US/bill/HB943/2025,"Referred to the Committee on Ways and Means, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB944,US,HB944,Introduced,2025-02-04,To clarify the rights of certain persons who are held or detained at a port of entry or at any facility overseen by U.S. Customs and Border Protection.,To clarify the rights of certain persons who are held or detained at a port of entry or at any facility overseen by U.S. Customs and Border Protection.,https://legiscan.com/US/bill/HB944/2025,Referred to the House Committee on the Judiciary.
US-HB945,US,HB945,Introduced,2025-02-04,"To award a Congressional Gold Medal to the Freedom Riders, collectively, in recognition of their unique contribution to Civil Rights, which inspired a revolutionary movement for equality in interstate travel.","To award a Congressional Gold Medal to the Freedom Riders, collectively, in recognition of their unique contribution to Civil Rights, which inspired a revolutionary movement for equality in interstate travel.",https://legiscan.com/US/bill/HB945/2025,"Referred to the Committee on Financial Services, and in addition to the Committee on House Administration, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB946,US,HB946,Introduced,2025-02-04,To amend title XI of the Social Security Act to expand and clarify the exclusion for orphan drugs under the Drug Price Negotiation Program.,To amend title XI of the Social Security Act to expand and clarify the exclusion for orphan drugs under the Drug Price Negotiation Program.,https://legiscan.com/US/bill/HB946/2025,Sponsor introductory remarks on measure. (CR H535-536)
US-HB947,US,HB947,Introduced,2025-02-04,"To prohibit the United States Government from recognizing the Russian Federations claim of sovereignty over any portion of the sovereign territory of Ukraine, and for other purposes.","To prohibit the United States Government from recognizing the Russian Federations claim of sovereignty over any portion of the sovereign territory of Ukraine, and for other purposes.",https://legiscan.com/US/bill/HB947/2025,Referred to the House Committee on Foreign Affairs.
US-HB948,US,HB948,Introduced,2025-02-04,To amend the Internal Revenue Code of 1986 to provide a refundable credit against tax for wildfire mitigation expenditures.,To amend the Internal Revenue Code of 1986 to provide a refundable credit against tax for wildfire mitigation expenditures.,https://legiscan.com/US/bill/HB948/2025,Referred to the House Committee on Ways and Means.
US-HB949,US,HB949,Introduced,2025-02-04,To amend the Wild and Scenic Rivers Act to designate a segment of the Hatchie River in the State of Tennessee for study for potential addition to the National Wild and Scenic Rivers System.,To amend the Wild and Scenic Rivers Act to designate a segment of the Hatchie River in the State of Tennessee for study for potential addition to the National Wild and Scenic Rivers System.,https://legiscan.com/US/bill/HB949/2025,Referred to the House Committee on Natural Resources.
US-HB950,US,HB950,Introduced,2025-02-04,To amend title XVIII of the Social Security Act to establish pharmacy benefit manager reporting requirements with respect to prescription drug plans and MA-PD plans under Medicare part D.,To amend title XVIII of the Social Security Act to establish pharmacy benefit manager reporting requirements with respect to prescription drug plans and MA-PD plans under Medicare part D.,https://legiscan.com/US/bill/HB950/2025,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB951,US,HB951,Introduced,2025-02-04,To require the Secretary of the Treasury to mint coins in commemoration of the continual recognition of the Nation's semiquincentennial by honoring over 250 years of Americans' service and sacrifice.,To require the Secretary of the Treasury to mint coins in commemoration of the continual recognition of the Nation's semiquincentennial by honoring over 250 years of Americans' service and sacrifice.,https://legiscan.com/US/bill/HB951/2025,Referred to the House Committee on Financial Services.
US-HB952,US,HB952,Introduced,2025-02-04,"To convey the reversionary interest of the United States in certain land in Sacramento, California.","To convey the reversionary interest of the United States in certain land in Sacramento, California.",https://legiscan.com/US/bill/HB952/2025,Referred to the House Committee on Natural Resources.
US-HB953,US,HB953,Introduced,2025-02-04,To advance United States long-term trade competitiveness and economic leadership in the Indo-Pacific region.,To advance United States long-term trade competitiveness and economic leadership in the Indo-Pacific region.,https://legiscan.com/US/bill/HB953/2025,Referred to the House Committee on Ways and Means.
US-HB954,US,HB954,Introduced,2025-02-04,"To amend the Scholarships for Opportunity and Results Act with respect to certain funding, testing, and evaluation requirements and to permanently authorize an appropriation for such Act.","To amend the Scholarships for Opportunity and Results Act with respect to certain funding, testing, and evaluation requirements and to permanently authorize an appropriation for such Act.",https://legiscan.com/US/bill/HB954/2025,Referred to the House Committee on Oversight and Government Reform.
US-HB955,US,HB955,Introduced,2025-02-04,"To amend the Internal Revenue Code of 1986 to reform health provisions, and for other purposes.","To amend the Internal Revenue Code of 1986 to reform health provisions, and for other purposes.",https://legiscan.com/US/bill/HB955/2025,Referred to the House Committee on Ways and Means.
US-HB956,US,HB956,Introduced,2025-02-04,"To amend the Wildfire Suppression Aircraft Transfer Act of 1996 to reauthorize the sale by the Department of Defense of aircraft and parts for wildfire suppression purposes, and for other purposes.","To amend the Wildfire Suppression Aircraft Transfer Act of 1996 to reauthorize the sale by the Department of Defense of aircraft and parts for wildfire suppression purposes, and for other purposes.",https://legiscan.com/US/bill/HB956/2025,"Referred to the Committee on Oversight and Government Reform, and in addition to the Committees on Armed Services, and Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB957,US,HB957,Introduced,2025-02-04,To provide for civil monetary penalties for violations of mental health parity requirements.,To provide for civil monetary penalties for violations of mental health parity requirements.,https://legiscan.com/US/bill/HB957/2025,Referred to the House Committee on Education and Workforce.
US-HB958,US,HB958,Introduced,2025-02-04,"To amend the Public Health Service Act to reauthorize funding for grants and contracts for primary care training and enhancement, and for other purposes.","To amend the Public Health Service Act to reauthorize funding for grants and contracts for primary care training and enhancement, and for other purposes.",https://legiscan.com/US/bill/HB958/2025,Referred to the House Committee on Energy and Commerce.
US-HB959,US,HB959,Introduced,2025-02-04,"To establish in the Department of State the Office to Monitor and Combat Islamophobia, and for other purposes.","To establish in the Department of State the Office to Monitor and Combat Islamophobia, and for other purposes.",https://legiscan.com/US/bill/HB959/2025,Referred to the House Committee on Foreign Affairs.
US-HB960,US,HB960,Introduced,2025-02-04,To amend chapter 62 of the Harmonized Tariff Schedule of the United States to modify the requirements for a garment to be considered water resistant.,To amend chapter 62 of the Harmonized Tariff Schedule of the United States to modify the requirements for a garment to be considered water resistant.,https://legiscan.com/US/bill/HB960/2025,Referred to the House Committee on Ways and Means.
US-HB961,US,HB961,Introduced,2025-02-04,"To direct the Secretary of Veterans Affairs to establish a pilot program to provide veteran health savings accounts to allow veterans to receive primary care furnished under non-Department direct primary care service arrangements, and for other purposes.","To direct the Secretary of Veterans Affairs to establish a pilot program to provide veteran health savings accounts to allow veterans to receive primary care furnished under non-Department direct primary care service arrangements, and for other purposes.",https://legiscan.com/US/bill/HB961/2025,Referred to the House Committee on Veterans' Affairs.
US-HB962,US,HB962,Introduced,2025-02-04,To prohibit the Secretary of Veterans Affairs from transmitting certain information to the Department of Justice for use by the national instant criminal background check system.,To prohibit the Secretary of Veterans Affairs from transmitting certain information to the Department of Justice for use by the national instant criminal background check system.,https://legiscan.com/US/bill/HB962/2025,Referred to the House Committee on Veterans' Affairs.
US-HB963,US,HB963,Introduced,2025-02-04,To require expedited consideration of a bill that addresses the insolvency of the Federal Old-Age and Survivors Insurance Trust Fund or the Federal Disability Insurance Trust Fund in the case that either trust fund becomes insolvent.,To require expedited consideration of a bill that addresses the insolvency of the Federal Old-Age and Survivors Insurance Trust Fund or the Federal Disability Insurance Trust Fund in the case that either trust fund becomes insolvent.,https://legiscan.com/US/bill/HB963/2025,"Referred to the Committee on Ways and Means, and in addition to the Committee on Rules, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB964,US,HB964,Introduced,2025-02-04,"To amend section 6103 of title 5, United States Code, to establish Rosa Parks Day as a Federal holiday, and for other purposes.","To amend section 6103 of title 5, United States Code, to establish Rosa Parks Day as a Federal holiday, and for other purposes.",https://legiscan.com/US/bill/HB964/2025,Referred to the House Committee on Oversight and Government Reform.
US-HB965,US,HB965,Held,2025-02-11,Housing Unhoused Disabled Veterans Act,"To amend section 3(b)(4) of the United States Housing Act of 1937 to exclude certain disability benefits from income for the purposes of determining eligibility for the supported housing program under section 8(o)(19), and for other purposes.",https://legiscan.com/US/bill/HB965/2025,"Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs."
US-HB966,US,HB966,Introduced,2025-02-04,"To prohibit the Secretary of Veterans Affairs from denying a veteran benefits administered by the Secretary by reason of the veteran participating in a State-approved marijuana program, and for other purposes.","To prohibit the Secretary of Veterans Affairs from denying a veteran benefits administered by the Secretary by reason of the veteran participating in a State-approved marijuana program, and for other purposes.",https://legiscan.com/US/bill/HB966/2025,Referred to the House Committee on Veterans' Affairs.
US-HB967,US,HB967,Introduced,2025-02-04,"To amend title 38, United States Code, to allow individuals who are entitled to Post-9/11 educational assistance to use such assistance to repay Federal student loans.","To amend title 38, United States Code, to allow individuals who are entitled to Post-9/11 educational assistance to use such assistance to repay Federal student loans.",https://legiscan.com/US/bill/HB967/2025,Referred to the House Committee on Veterans' Affairs.
US-HB968,US,HB968,Introduced,2025-02-04,"To amend title 38, United States Code, to eliminate the time limitation for the use of entitlement by certain veterans under the Post-9/11 Educational Assistance Program of the Department of Veterans Affairs.","To amend title 38, United States Code, to eliminate the time limitation for the use of entitlement by certain veterans under the Post-9/11 Educational Assistance Program of the Department of Veterans Affairs.",https://legiscan.com/US/bill/HB968/2025,Referred to the House Committee on Veterans' Affairs.
US-HB969,US,HB969,Introduced,2025-02-04,To impose sanctions on persons engaging in transactions in Afghanistan rare earth minerals.,To impose sanctions on persons engaging in transactions in Afghanistan rare earth minerals.,https://legiscan.com/US/bill/HB969/2025,"Referred to the Committee on Foreign Affairs, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
